ids,tot E,tot G,tot FO,tot,tot %,Fund6 E,Fund6 G,Fund6 FO,Fund6 %,Fund7 E,Fund7 G,Fund7 FO,Fund7 %,Fund8 E,Fund8 G,Fund8 FO,Fund8 %,Fund9 E,Fund9 G,Fund9 FO,Fund9 %,active funds,"consecutive
active funds",email,anonymized_ids
z_assessor_2160,2,25,4,31,87.10%,0,1,0,100.00%,1,20,4,84.00%,1,2,0,100.00%,0,2,0,100.00%,4,4,39-test@example.org,"z_assessor_2160, z_assessor_125"
z_assessor_2167,4,60,1,65,98.46%,4,30,1,97.14%,0,30,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,4,0,40-test@example.org,"z_assessor_2167, z_assessor_577"
z_assessor_2169,6,136,7,149,95.30%,0,0,0,0.00%,0,18,1,94.74%,1,80,5,94.19%,5,38,1,97.73%,3,3,41-test@example.org,"z_assessor_2169, z_assessor_681"
z_assessor_2170,2,18,2,22,90.91%,1,2,0,100.00%,0,0,0,0.00%,1,4,1,83.33%,0,12,1,92.31%,3,2,42-test@example.org,"z_assessor_2170, z_assessor_334"
z_assessor_745,0,55,4,59,93.22%,0,0,0,0.00%,0,55,3,94.83%,0,0,1,0.00%,0,0,0,0.00%,2,0,43-test@example.org,z_assessor_745
z_assessor_2174,1,36,1,38,97.37%,0,13,1,92.86%,1,16,0,100.00%,0,1,0,100.00%,0,6,0,100.00%,4,4,44-test@example.org,"z_assessor_2174, z_assessor_282"
z_assessor_612,1,65,14,80,82.50%,1,43,2,95.65%,0,22,3,88.00%,0,0,9,0.00%,0,0,0,0.00%,3,0,45-test@example.org,z_assessor_612
z_assessor_2180,2,113,14,129,89.15%,2,26,0,100.00%,0,71,4,94.67%,0,5,6,45.45%,0,11,4,73.33%,4,0,46-test@example.org,"z_assessor_2180, z_assessor_113"
z_assessor_2181,0,7,3,10,70.00%,0,0,0,0.00%,0,3,0,100.00%,0,4,2,66.67%,0,0,1,0.00%,3,0,47-test@example.org,"z_assessor_2181, z_assessor_830"
z_assessor_2192,3,206,15,224,93.30%,0,0,0,0.00%,0,44,0,100.00%,0,94,14,87.04%,3,68,1,98.61%,3,3,48-test@example.org,"z_assessor_2192, z_assessor_20"
z_assessor_2201,0,18,3,21,85.71%,0,0,0,0.00%,0,7,0,100.00%,0,11,3,78.57%,0,0,0,0.00%,3,0,49-test@example.org,"z_assessor_2201, z_assessor_56"
z_assessor_590,1,8,1,10,90.00%,1,8,1,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,50-test@example.org,z_assessor_590
z_assessor_2207,0,16,1,17,94.12%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,16,1,94.12%,1,1,51-test@example.org,z_assessor_2207
z_assessor_33,0,15,1,16,93.75%,0,15,1,93.75%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,52-test@example.org,z_assessor_33
z_assessor_2210,7,115,12,134,91.04%,7,81,0,100.00%,0,31,4,88.57%,0,3,8,27.27%,0,0,0,0.00%,4,0,53-test@example.org,"z_assessor_2210, z_assessor_484"
z_assessor_2215,0,68,13,81,83.95%,0,8,5,61.54%,0,21,1,95.45%,0,19,4,82.61%,0,20,3,86.96%,4,3,54-test@example.org,"z_assessor_2215, z_assessor_530"
z_assessor_45,4,48,3,55,94.55%,3,10,1,92.86%,1,13,1,93.33%,0,25,1,96.15%,0,0,0,0.00%,3,0,55-test@example.org,z_assessor_45
z_assessor_2217,0,50,11,61,81.97%,0,0,0,0.00%,0,14,5,73.68%,0,7,0,100.00%,0,29,6,82.86%,3,2,56-test@example.org,"z_assessor_2217, z_assessor_652"
z_assessor_2222,1,196,23,220,89.55%,0,43,16,72.88%,0,65,6,91.55%,0,34,0,100.00%,1,54,1,98.21%,4,3,57-test@example.org,"z_assessor_2222, z_assessor_54"
z_assessor_2224,29,33,2,64,96.88%,17,5,2,91.67%,11,10,0,100.00%,1,18,0,100.00%,0,0,0,0.00%,4,0,58-test@example.org,"z_assessor_2224, z_assessor_42"
z_assessor_2226,7,8,2,17,88.24%,2,1,0,100.00%,1,4,1,83.33%,4,2,1,85.71%,0,1,0,100.00%,4,4,59-test@example.org,"z_assessor_2226, z_assessor_210"
z_assessor_2228,2,28,4,34,88.24%,0,8,0,100.00%,0,10,0,100.00%,2,4,0,100.00%,0,6,4,60.00%,4,0,60-test@example.org,"z_assessor_2228, z_assessor_16"
z_assessor_2229,0,14,3,17,82.35%,0,3,0,100.00%,0,6,2,75.00%,0,5,1,83.33%,0,0,0,0.00%,4,0,61-test@example.org,"z_assessor_2229, z_assessor_362"
z_assessor_2232,1,68,7,76,90.79%,0,0,0,0.00%,1,30,0,100.00%,0,32,0,100.00%,0,6,7,46.15%,3,0,62-test@example.org,"z_assessor_2232, z_assessor_739"
z_assessor_2233,46,87,0,133,100.00%,9,7,0,100.00%,18,9,0,100.00%,15,24,0,100.00%,4,47,0,100.00%,4,4,63-test@example.org,"z_assessor_2233, z_assessor_66"
z_assessor_2237,0,38,4,42,90.48%,0,0,0,0.00%,0,2,3,40.00%,0,25,1,96.15%,0,11,0,100.00%,3,2,64-test@example.org,"z_assessor_2237, z_assessor_759"
z_assessor_721,0,27,8,35,77.14%,0,0,0,0.00%,0,23,6,79.31%,0,4,2,66.67%,0,0,0,0.00%,2,0,65-test@example.org,z_assessor_721
z_assessor_2241,1,9,1,11,90.91%,1,0,0,100.00%,0,0,0,0.00%,0,6,1,85.71%,0,3,0,100.00%,3,2,66-test@example.org,"z_assessor_2241, z_assessor_1122, z_assessor_258"
z_assessor_2245,6,73,9,88,89.77%,6,9,0,100.00%,0,18,1,94.74%,0,27,1,96.43%,0,19,7,73.08%,4,0,67-test@example.org,"z_assessor_2245, z_assessor_114"
z_assessor_2246,25,40,0,65,100.00%,21,17,0,100.00%,4,23,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,4,0,68-test@example.org,"z_assessor_2246, z_assessor_19"
z_assessor_2252,1,44,3,48,93.75%,0,0,0,0.00%,0,0,0,0.00%,1,3,0,100.00%,0,41,3,93.18%,2,2,69-test@example.org,"z_assessor_2252, z_assessor_1131"
z_assessor_2254,0,11,2,13,84.62%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,11,2,84.62%,1,1,70-test@example.org,z_assessor_2254
z_assessor_2255,2,67,1,70,98.57%,0,0,0,0.00%,2,28,0,100.00%,0,29,1,96.67%,0,10,0,100.00%,3,3,71-test@example.org,"z_assessor_2255, z_assessor_640"
z_assessor_2257,0,273,54,327,83.49%,0,66,13,83.54%,0,117,3,97.50%,0,44,10,81.48%,0,46,28,62.16%,4,0,72-test@example.org,"z_assessor_2257, z_assessor_52"
z_assessor_2259,432,150,20,602,96.68%,60,9,1,98.57%,80,23,1,99.04%,162,52,13,94.27%,130,66,5,97.51%,4,4,73-test@example.org,"z_assessor_2259, z_assessor_57"
z_assessor_2261,9,26,1,36,97.22%,0,0,0,0.00%,0,0,0,0.00%,5,1,0,100.00%,4,25,1,96.67%,2,2,74-test@example.org,"z_assessor_2261, z_assessor_1134"
z_assessor_2264,5,165,19,189,89.95%,4,19,1,95.83%,1,40,1,97.62%,0,62,3,95.38%,0,44,14,75.86%,4,0,75-test@example.org,"z_assessor_2264, z_assessor_78"
z_assessor_1136,0,9,2,11,81.82%,0,0,0,0.00%,0,0,0,0.00%,0,9,2,81.82%,0,0,0,0.00%,1,0,76-test@example.org,z_assessor_1136
z_assessor_2274,0,22,4,26,84.62%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,22,4,84.62%,1,1,77-test@example.org,z_assessor_2274
z_assessor_2276,1,9,1,11,90.91%,1,2,0,100.00%,0,6,1,85.71%,0,1,0,100.00%,0,0,0,0.00%,4,0,78-test@example.org,"z_assessor_2276, z_assessor_500"
z_assessor_2280,0,9,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,1,90.00%,2,1,79-test@example.org,"z_assessor_2280, z_assessor_1138"
z_assessor_2282,0,11,1,12,91.67%,0,0,0,0.00%,0,0,0,0.00%,0,8,0,100.00%,0,3,1,75.00%,2,0,80-test@example.org,"z_assessor_2282, z_assessor_1139"
z_assessor_2284,9,96,0,105,100.00%,9,35,0,100.00%,0,50,0,100.00%,0,8,0,100.00%,0,3,0,100.00%,4,4,81-test@example.org,"z_assessor_2284, z_assessor_140"
z_assessor_2285,6,143,6,155,96.13%,6,32,0,100.00%,0,86,5,94.51%,0,19,1,95.00%,0,6,0,100.00%,4,4,82-test@example.org,"z_assessor_2285, z_assessor_471"
z_assessor_2289,0,42,13,55,76.36%,0,0,0,0.00%,0,9,4,69.23%,0,20,1,95.24%,0,13,8,61.90%,3,0,83-test@example.org,"z_assessor_2289, z_assessor_646, z_assessor_55"
z_assessor_2290,2,86,0,88,100.00%,0,0,0,0.00%,0,1,0,100.00%,0,51,0,100.00%,2,34,0,100.00%,3,3,84-test@example.org,"z_assessor_2290, z_assessor_139"
z_assessor_2291,5,329,20,354,94.35%,5,254,7,97.37%,0,75,13,85.23%,0,0,0,0.00%,0,0,0,0.00%,4,0,85-test@example.org,"z_assessor_2291, z_assessor_11"
z_assessor_2292,0,133,25,158,84.18%,0,14,0,100.00%,0,47,14,77.05%,0,45,3,93.75%,0,27,8,77.14%,4,0,86-test@example.org,"z_assessor_2292, z_assessor_9"
z_assessor_2298,8,102,14,124,88.71%,5,30,0,100.00%,1,17,1,94.74%,1,15,7,69.57%,1,40,6,87.23%,4,1,87-test@example.org,"z_assessor_2298, z_assessor_25"
z_assessor_2299,3,244,7,254,97.24%,0,0,0,0.00%,0,69,5,93.24%,1,53,1,98.18%,2,122,1,99.20%,3,3,88-test@example.org,"z_assessor_2299, z_assessor_654"
z_assessor_2300,3,9,4,16,75.00%,3,3,1,85.71%,0,3,1,75.00%,0,3,2,60.00%,0,0,0,0.00%,4,0,89-test@example.org,"z_assessor_2300, z_assessor_183"
z_assessor_281,2,17,5,24,79.17%,2,17,5,79.17%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,90-test@example.org,z_assessor_281
z_assessor_400,0,11,3,14,78.57%,0,4,0,100.00%,0,5,1,83.33%,0,2,2,50.00%,0,0,0,0.00%,3,0,91-test@example.org,z_assessor_400
z_assessor_2306,10,131,11,152,92.76%,0,0,0,0.00%,0,0,0,0.00%,10,69,4,95.18%,0,62,7,89.86%,2,2,92-test@example.org,"z_assessor_2306, z_assessor_1146"
z_assessor_2312,1,25,9,35,74.29%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,25,9,74.29%,1,0,93-test@example.org,z_assessor_2312
z_assessor_2320,1,29,6,36,83.33%,0,0,0,0.00%,0,8,1,88.89%,1,20,5,80.77%,0,1,0,100.00%,3,3,94-test@example.org,"z_assessor_2320, z_assessor_948"
z_assessor_2322,1,19,0,20,100.00%,0,2,0,100.00%,1,3,0,100.00%,0,4,0,100.00%,0,10,0,100.00%,4,4,95-test@example.org,"z_assessor_2322, z_assessor_614"
z_assessor_2323,1,58,11,70,84.29%,0,0,0,0.00%,0,9,3,75.00%,1,17,7,72.00%,0,32,1,96.97%,3,1,96-test@example.org,"z_assessor_2323, z_assessor_706"
z_assessor_2325,0,21,4,25,84.00%,0,0,0,0.00%,0,7,0,100.00%,0,0,0,0.00%,0,14,4,77.78%,3,0,97-test@example.org,"z_assessor_2325, z_assessor_757"
z_assessor_2328,4,12,2,18,88.89%,0,0,0,0.00%,2,0,0,100.00%,2,6,0,100.00%,0,6,2,75.00%,3,0,98-test@example.org,"z_assessor_2328, z_assessor_1003"
z_assessor_2329,1,14,1,16,93.75%,1,5,0,100.00%,0,0,0,0.00%,0,3,0,100.00%,0,6,1,85.71%,3,2,99-test@example.org,"z_assessor_2329, z_assessor_503"
z_assessor_2332,2,162,11,175,93.71%,1,43,7,86.27%,1,52,1,98.15%,0,54,3,94.74%,0,13,0,100.00%,4,4,100-test@example.org,"z_assessor_2332, z_assessor_439"
z_assessor_2335,14,90,4,108,96.30%,10,0,0,100.00%,3,21,1,96.00%,1,36,3,92.50%,0,33,0,100.00%,4,4,101-test@example.org,"z_assessor_2335, z_assessor_546"
z_assessor_2336,6,104,15,125,88.00%,6,20,1,96.30%,0,38,7,84.44%,0,30,7,81.08%,0,16,0,100.00%,4,4,102-test@example.org,"z_assessor_2336, z_assessor_309"
z_assessor_636,24,39,0,63,100.00%,17,3,0,100.00%,5,25,0,100.00%,2,11,0,100.00%,0,0,0,0.00%,3,0,103-test@example.org,z_assessor_636
z_assessor_605,1,9,0,10,100.00%,1,2,0,100.00%,0,6,0,100.00%,0,1,0,100.00%,0,0,0,0.00%,3,0,104-test@example.org,z_assessor_605
z_assessor_2343,26,31,2,59,96.61%,20,10,0,100.00%,0,0,0,0.00%,6,15,0,100.00%,0,6,2,75.00%,3,0,105-test@example.org,"z_assessor_2343, z_assessor_1157, z_assessor_540"
z_assessor_2344,1,18,2,21,90.48%,0,9,0,100.00%,1,9,2,83.33%,0,0,0,0.00%,0,0,0,0.00%,3,0,106-test@example.org,"z_assessor_2344, z_assessor_499"
z_assessor_2349,0,19,1,20,95.00%,0,0,0,0.00%,0,19,1,95.00%,0,0,0,0.00%,0,0,0,0.00%,3,0,107-test@example.org,"z_assessor_2349, z_assessor_816"
z_assessor_2351,4,15,5,24,79.17%,4,3,0,100.00%,0,1,0,100.00%,0,6,0,100.00%,0,5,5,50.00%,4,0,108-test@example.org,"z_assessor_2351, z_assessor_533"
z_assessor_542,0,13,0,13,100.00%,0,13,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,109-test@example.org,z_assessor_542
z_assessor_2352,0,109,27,136,80.15%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,109,27,80.15%,2,1,110-test@example.org,"z_assessor_2352, z_assessor_1160"
z_assessor_2353,0,19,1,20,95.00%,0,0,0,0.00%,0,19,1,95.00%,0,0,0,0.00%,0,0,0,0.00%,3,0,111-test@example.org,"z_assessor_2353, z_assessor_743"
z_assessor_2356,1,11,1,13,92.31%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,11,1,92.31%,1,1,112-test@example.org,z_assessor_2356
z_assessor_2365,1,10,2,13,84.62%,0,0,0,0.00%,0,0,0,0.00%,1,4,0,100.00%,0,6,2,75.00%,2,0,113-test@example.org,"z_assessor_2365, z_assessor_1167"
z_assessor_2368,20,98,23,141,83.69%,20,62,2,97.62%,0,36,21,63.16%,0,0,0,0.00%,0,0,0,0.00%,4,0,114-test@example.org,"z_assessor_2368, z_assessor_358"
z_assessor_2371,1,13,1,15,93.33%,0,0,0,0.00%,0,0,0,0.00%,1,4,0,100.00%,0,9,1,90.00%,2,2,115-test@example.org,"z_assessor_2371, z_assessor_1170"
z_assessor_2373,0,8,2,10,80.00%,0,0,0,0.00%,0,0,0,0.00%,0,6,2,75.00%,0,2,0,100.00%,2,1,116-test@example.org,"z_assessor_2373, z_assessor_1171"
z_assessor_2374,5,59,11,75,85.33%,5,3,0,100.00%,0,28,4,87.50%,0,20,6,76.92%,0,8,1,88.89%,4,1,117-test@example.org,"z_assessor_2374, z_assessor_495"
z_assessor_2384,6,12,1,19,94.74%,0,0,0,0.00%,2,4,0,100.00%,3,6,1,90.00%,1,2,0,100.00%,3,3,118-test@example.org,"z_assessor_2384, z_assessor_775"
z_assessor_2385,3,44,5,52,90.38%,0,0,0,0.00%,0,4,1,80.00%,2,20,1,95.65%,1,20,3,87.50%,3,2,119-test@example.org,"z_assessor_2385, z_assessor_861"
z_assessor_2387,0,19,6,25,76.00%,0,11,1,91.67%,0,8,5,61.54%,0,0,0,0.00%,0,0,0,0.00%,4,0,120-test@example.org,"z_assessor_2387, z_assessor_607"
z_assessor_557,0,11,0,11,100.00%,0,11,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,121-test@example.org,z_assessor_557
z_assessor_4129,0,35,2,37,94.59%,0,0,0,0.00%,0,7,2,77.78%,0,9,0,100.00%,0,19,0,100.00%,3,2,122-test@example.org,"z_assessor_4129, z_assessor_782"
z_assessor_2398,11,30,0,41,100.00%,6,7,0,100.00%,3,8,0,100.00%,2,8,0,100.00%,0,7,0,100.00%,4,4,123-test@example.org,"z_assessor_2398, z_assessor_288"
z_assessor_318,0,22,1,23,95.65%,0,7,0,100.00%,0,6,1,85.71%,0,9,0,100.00%,0,0,0,0.00%,3,0,124-test@example.org,z_assessor_318
z_assessor_2402,1,35,1,37,97.30%,1,22,0,100.00%,0,8,0,100.00%,0,4,1,80.00%,0,1,0,100.00%,4,1,125-test@example.org,"z_assessor_2402, z_assessor_554"
z_assessor_2403,0,27,3,30,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,27,3,90.00%,1,1,126-test@example.org,z_assessor_2403
z_assessor_2409,1,68,17,86,80.23%,1,16,2,89.47%,0,15,7,68.18%,0,19,4,82.61%,0,18,4,81.82%,4,2,127-test@example.org,"z_assessor_2409, z_assessor_386"
z_assessor_2413,2,14,0,16,100.00%,0,0,0,0.00%,0,0,0,0.00%,2,13,0,100.00%,0,1,0,100.00%,2,2,128-test@example.org,"z_assessor_2413, z_assessor_1184"
z_assessor_2414,0,12,0,12,100.00%,0,5,0,100.00%,0,7,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,4,0,129-test@example.org,"z_assessor_2414, z_assessor_65"
z_assessor_2433,0,21,2,23,91.30%,0,0,0,0.00%,0,0,0,0.00%,0,21,1,95.45%,0,0,1,0.00%,2,0,130-test@example.org,"z_assessor_2433, z_assessor_1190"
z_assessor_1192,2,9,1,12,91.67%,0,0,0,0.00%,0,0,0,0.00%,2,9,1,91.67%,0,0,0,0.00%,1,0,131-test@example.org,z_assessor_1192
z_assessor_2435,0,7,3,10,70.00%,0,4,3,57.14%,0,2,0,100.00%,0,1,0,100.00%,0,0,0,0.00%,4,0,132-test@example.org,"z_assessor_2435, z_assessor_361"
z_assessor_2436,100,172,2,274,99.27%,0,0,0,0.00%,13,16,0,100.00%,71,92,1,99.39%,16,64,1,98.77%,3,3,133-test@example.org,"z_assessor_2436, z_assessor_1193, z_assessor_811"
z_assessor_2437,1,94,13,108,87.96%,0,0,0,0.00%,0,93,9,91.18%,0,0,0,0.00%,1,1,4,33.33%,3,0,134-test@example.org,"z_assessor_2437, z_assessor_645"
z_assessor_2439,0,50,13,63,79.37%,0,22,3,88.00%,0,24,7,77.42%,0,0,0,0.00%,0,4,3,57.14%,4,0,135-test@example.org,"z_assessor_2439, z_assessor_430"
z_assessor_603,0,11,1,12,91.67%,0,11,1,91.67%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,136-test@example.org,z_assessor_603
z_assessor_2447,5,56,3,64,95.31%,0,4,0,100.00%,2,9,0,100.00%,3,32,1,97.22%,0,11,2,84.62%,4,4,137-test@example.org,"z_assessor_2447, z_assessor_582"
z_assessor_2448,0,10,1,11,90.91%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,10,1,90.91%,2,1,138-test@example.org,"z_assessor_2448, z_assessor_1199"
z_assessor_2457,18,57,2,77,97.40%,1,1,0,100.00%,5,16,0,100.00%,5,22,1,96.43%,7,18,1,96.15%,4,4,139-test@example.org,"z_assessor_2457, z_assessor_310"
z_assessor_2458,2,103,24,129,81.40%,2,10,1,92.31%,0,26,1,96.30%,0,30,15,66.67%,0,37,7,84.09%,4,1,140-test@example.org,"z_assessor_2458, z_assessor_478"
z_assessor_2459,0,124,6,130,95.38%,0,0,0,0.00%,0,97,6,94.17%,0,27,0,100.00%,0,0,0,0.00%,3,0,141-test@example.org,"z_assessor_2459, z_assessor_651"
z_assessor_2461,24,190,7,221,96.83%,14,13,1,96.43%,9,39,0,100.00%,1,58,3,95.16%,0,80,3,96.39%,4,4,142-test@example.org,"z_assessor_2461, z_assessor_298"
z_assessor_2463,59,181,35,275,87.27%,11,22,1,97.06%,31,41,1,98.63%,15,50,31,67.71%,2,68,2,97.22%,4,1,143-test@example.org,"z_assessor_2463, z_assessor_536"
z_assessor_2464,0,42,8,50,84.00%,0,0,0,0.00%,0,0,0,0.00%,0,1,0,100.00%,0,41,8,83.67%,2,2,144-test@example.org,"z_assessor_2464, z_assessor_1207"
z_assessor_2465,0,17,5,22,77.27%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,17,5,77.27%,1,0,145-test@example.org,z_assessor_2465
z_assessor_2466,0,38,8,46,82.61%,0,14,4,77.78%,0,1,0,100.00%,0,16,2,88.89%,0,7,2,77.78%,4,0,146-test@example.org,"z_assessor_2466, z_assessor_409"
z_assessor_2480,4,15,1,20,95.00%,0,10,1,90.91%,4,4,0,100.00%,0,0,0,0.00%,0,1,0,100.00%,4,1,147-test@example.org,"z_assessor_2480, z_assessor_332"
z_assessor_2482,6,58,1,65,98.46%,0,0,0,0.00%,1,3,0,100.00%,4,26,0,100.00%,1,29,1,96.77%,3,3,148-test@example.org,"z_assessor_2482, z_assessor_943"
z_assessor_2483,1,140,24,165,85.45%,0,0,0,0.00%,0,63,20,75.90%,0,36,3,92.31%,1,41,1,97.67%,3,2,149-test@example.org,"z_assessor_2483, z_assessor_688"
z_assessor_602,0,13,5,18,72.22%,0,1,0,100.00%,0,12,3,80.00%,0,0,2,0.00%,0,0,0,0.00%,3,0,150-test@example.org,z_assessor_602
z_assessor_2496,4,99,3,106,97.17%,0,13,2,86.67%,0,25,0,100.00%,4,12,0,100.00%,0,49,1,98.00%,4,4,151-test@example.org,"z_assessor_2496, z_assessor_419"
z_assessor_2497,4,12,1,17,94.12%,0,6,0,100.00%,3,3,0,100.00%,1,3,1,80.00%,0,0,0,0.00%,4,0,152-test@example.org,"z_assessor_2497, z_assessor_591"
z_assessor_2501,0,16,0,16,100.00%,0,13,0,100.00%,0,3,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,3,0,153-test@example.org,"z_assessor_2501, z_assessor_466"
z_assessor_2504,51,23,0,74,100.00%,14,1,0,100.00%,17,3,0,100.00%,6,1,0,100.00%,14,18,0,100.00%,4,4,154-test@example.org,"z_assessor_2504, z_assessor_349"
z_assessor_2508,18,194,62,274,77.37%,18,76,6,94.00%,0,103,2,98.10%,0,13,54,19.40%,0,2,0,100.00%,4,1,155-test@example.org,"z_assessor_2508, z_assessor_344"
z_assessor_620,7,7,0,14,100.00%,7,3,0,100.00%,0,3,0,100.00%,0,1,0,100.00%,0,0,0,0.00%,3,0,156-test@example.org,z_assessor_620
z_assessor_2513,1,75,10,86,88.37%,1,3,0,100.00%,0,27,3,90.00%,0,0,0,0.00%,0,45,7,86.54%,4,1,157-test@example.org,"z_assessor_2513, z_assessor_341"
z_assessor_338,1,10,0,11,100.00%,1,0,0,100.00%,0,10,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,2,0,158-test@example.org,z_assessor_338
z_assessor_2517,2,63,8,73,89.04%,0,0,0,0.00%,0,0,0,0.00%,0,33,3,91.67%,2,30,5,86.49%,2,2,159-test@example.org,"z_assessor_2517, z_assessor_1224"
z_assessor_633,0,10,4,14,71.43%,0,10,4,71.43%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,160-test@example.org,z_assessor_633
z_assessor_330,0,12,0,12,100.00%,0,12,0,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,0,161-test@example.org,z_assessor_330
z_assessor_2521,0,37,10,47,78.72%,0,21,1,95.45%,0,9,0,100.00%,0,3,3,50.00%,0,4,6,40.00%,4,0,162-test@example.org,"z_assessor_2521, z_assessor_585"
z_assessor_2523,1,10,3,14,78.57%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,10,3,78.57%,1,0,163-test@example.org,z_assessor_2523
z_assessor_2525,5,150,18,173,89.60%,0,0,0,0.00%,0,36,5,87.80%,0,38,12,76.00%,5,76,1,98.78%,3,1,164-test@example.org,"z_assessor_2525, z_assessor_653"
z_assessor_2531,4,11,3,18,83.33%,0,0,0,0.00%,0,0,0,0.00%,1,0,0,100.00%,3,11,3,82.35%,2,2,165-test@example.org,"z_assessor_2531, z_assessor_1232"
z_assessor_2534,0,8,2,10,80.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,8,2,80.00%,1,0,166-test@example.org,z_assessor_2534
z_assessor_2535,4,40,2,46,95.65%,0,0,0,0.00%,4,40,2,95.65%,0,0,0,0.00%,0,0,0,0.00%,2,0,167-test@example.org,"z_assessor_2535, z_assessor_699"
z_assessor_2540,2,45,0,47,100.00%,0,0,0,0.00%,0,37,0,100.00%,2,8,0,100.00%,0,0,0,0.00%,3,0,168-test@example.org,"z_assessor_2540, z_assessor_795"
z_assessor_2543,2,31,3,36,91.67%,0,0,0,0.00%,2,26,3,90.32%,0,5,0,100.00%,0,0,0,0.00%,3,0,169-test@example.org,"z_assessor_2543, z_assessor_726"
z_assessor_2548,0,11,3,14,78.57%,0,0,0,0.00%,0,4,1,80.00%,0,0,0,0.00%,0,7,2,77.78%,3,0,170-test@example.org,"z_assessor_2548, z_assessor_956"
z_assessor_2552,7,95,24,126,80.95%,0,0,0,0.00%,0,1,18,5.26%,1,5,1,85.71%,6,89,5,95.00%,3,2,171-test@example.org,"z_assessor_2552, z_assessor_642"
z_assessor_2553,1,62,18,81,77.78%,0,0,0,0.00%,1,13,1,93.33%,0,23,8,74.19%,0,26,9,74.29%,3,0,172-test@example.org,"z_assessor_2553, z_assessor_639"
z_assessor_2554,3,56,6,65,90.77%,0,0,0,0.00%,0,0,0,0.00%,0,19,4,82.61%,3,37,2,95.24%,2,2,173-test@example.org,"z_assessor_2554, z_assessor_1243"
z_assessor_2558,1,42,10,53,81.13%,0,0,0,0.00%,1,7,2,80.00%,0,0,0,0.00%,0,35,8,81.40%,3,1,174-test@example.org,"z_assessor_2558, z_assessor_684"
z_assessor_2562,1,16,2,19,89.47%,0,0,0,0.00%,0,0,0,0.00%,1,15,2,88.89%,0,1,0,100.00%,2,2,175-test@example.org,"z_assessor_2562, z_assessor_1248"
z_assessor_2563,0,12,0,12,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,6,0,100.00%,0,6,0,100.00%,2,2,176-test@example.org,"z_assessor_2563, z_assessor_1250"
z_assessor_2564,0,56,3,59,94.92%,0,0,0,0.00%,0,0,0,0.00%,0,23,2,92.00%,0,33,1,97.06%,2,2,177-test@example.org,"z_assessor_2564, z_assessor_1251"
z_assessor_1253,0,12,5,17,70.59%,0,0,0,0.00%,0,0,0,0.00%,0,12,5,70.59%,0,0,0,0.00%,1,0,178-test@example.org,z_assessor_1253
z_assessor_2572,0,81,1,82,98.78%,0,0,0,0.00%,0,50,0,100.00%,0,31,1,96.88%,0,0,0,0.00%,3,0,179-test@example.org,"z_assessor_2572, z_assessor_809"
z_assessor_2575,0,11,2,13,84.62%,0,0,0,0.00%,0,0,0,0.00%,0,6,1,85.71%,0,5,1,83.33%,2,2,180-test@example.org,"z_assessor_2575, z_assessor_1264"
z_assessor_1011,1,58,18,77,76.62%,0,0,0,0.00%,1,52,14,79.10%,0,6,4,60.00%,0,0,0,0.00%,2,0,181-test@example.org,z_assessor_1011
z_assessor_2578,1,45,3,49,93.88%,0,0,0,0.00%,0,1,0,100.00%,1,29,2,93.75%,0,15,1,93.75%,3,3,182-test@example.org,"z_assessor_2578, z_assessor_823"
z_assessor_2585,0,66,8,74,89.19%,0,0,0,0.00%,0,19,0,100.00%,0,37,7,84.09%,0,10,1,90.91%,3,3,183-test@example.org,"z_assessor_2585, z_assessor_1275, z_assessor_853"
