ids,tot E,tot G,tot FO,tot,tot %,Fund6 E,Fund6 G,Fund6 FO,Fund6 %,Fund7 E,Fund7 G,Fund7 FO,Fund7 %,Fund8 E,Fund8 G,Fund8 FO,Fund8 %,Fund9 E,Fund9 G,Fund9 FO,Fund9 %,active funds,"consecutive
active funds",email,anonymized_ids
z_assessor_3144,0,45,6,51,88.24%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,45,6,88.24%,1,1,327-test@example.org,z_assessor_3144
z_assessor_3153,0,12,0,12,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,12,0,100.00%,1,1,328-test@example.org,z_assessor_3153
z_assessor_3160,0,29,3,32,90.63%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,29,3,90.63%,1,1,329-test@example.org,z_assessor_3160
z_assessor_3170,0,20,2,22,90.91%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,20,2,90.91%,1,1,330-test@example.org,z_assessor_3170
z_assessor_3183,0,49,9,58,84.48%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,49,9,84.48%,1,1,331-test@example.org,z_assessor_3183
z_assessor_3189,0,29,7,36,80.56%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,29,7,80.56%,1,1,332-test@example.org,z_assessor_3189
z_assessor_3190,4,27,3,34,91.18%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,4,27,3,91.18%,1,1,333-test@example.org,z_assessor_3190
z_assessor_3193,0,30,2,32,93.75%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,30,2,93.75%,1,1,334-test@example.org,z_assessor_3193
z_assessor_3208,0,11,3,14,78.57%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,11,3,78.57%,1,0,335-test@example.org,z_assessor_3208
z_assessor_3223,0,9,3,12,75.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,3,75.00%,1,0,336-test@example.org,z_assessor_3223
z_assessor_3225,0,25,2,27,92.59%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,25,2,92.59%,1,1,337-test@example.org,z_assessor_3225
z_assessor_3235,0,27,2,29,93.10%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,27,2,93.10%,1,1,338-test@example.org,z_assessor_3235
z_assessor_3237,1,34,0,35,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,34,0,100.00%,1,1,339-test@example.org,z_assessor_3237
z_assessor_3241,0,20,1,21,95.24%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,20,1,95.24%,1,1,340-test@example.org,z_assessor_3241
z_assessor_3243,0,46,4,50,92.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,46,4,92.00%,1,1,341-test@example.org,z_assessor_3243
z_assessor_3246,0,28,5,33,84.85%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,28,5,84.85%,1,1,342-test@example.org,z_assessor_3246
z_assessor_3250,0,11,1,12,91.67%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,11,1,91.67%,1,1,343-test@example.org,z_assessor_3250
z_assessor_3252,0,12,0,12,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,12,0,100.00%,1,1,344-test@example.org,z_assessor_3252
z_assessor_3255,0,26,5,31,83.87%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,26,5,83.87%,1,1,345-test@example.org,z_assessor_3255
z_assessor_3256,2,27,3,32,90.63%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,2,27,3,90.63%,1,1,346-test@example.org,z_assessor_3256
z_assessor_3260,2,12,6,20,70.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,2,12,6,70.00%,1,0,347-test@example.org,z_assessor_3260
z_assessor_3264,0,25,4,29,86.21%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,25,4,86.21%,1,1,348-test@example.org,z_assessor_3264
z_assessor_3270,0,33,4,37,89.19%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,33,4,89.19%,1,1,349-test@example.org,z_assessor_3270
z_assessor_3273,0,16,0,16,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,16,0,100.00%,1,1,350-test@example.org,z_assessor_3273
z_assessor_3279,6,31,3,40,92.50%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,6,31,3,92.50%,1,1,351-test@example.org,z_assessor_3279
z_assessor_3281,6,14,2,22,90.91%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,6,14,2,90.91%,1,1,352-test@example.org,z_assessor_3281
z_assessor_3284,0,10,0,10,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,10,0,100.00%,1,1,353-test@example.org,z_assessor_3284
z_assessor_3289,0,10,0,10,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,10,0,100.00%,1,1,354-test@example.org,z_assessor_3289
z_assessor_3296,1,9,0,10,100.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,9,0,100.00%,1,1,355-test@example.org,z_assessor_3296
z_assessor_3312,0,13,1,14,92.86%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,13,1,92.86%,1,1,356-test@example.org,z_assessor_3312
z_assessor_3314,0,9,1,10,90.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,1,90.00%,1,1,357-test@example.org,z_assessor_3314
z_assessor_3319,0,31,1,32,96.88%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,31,1,96.88%,1,1,358-test@example.org,z_assessor_3319
z_assessor_3320,0,15,1,16,93.75%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,15,1,93.75%,1,1,359-test@example.org,z_assessor_3320
z_assessor_3321,0,9,2,11,81.82%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,9,2,81.82%,1,1,360-test@example.org,z_assessor_3321
z_assessor_3325,0,14,1,15,93.33%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,14,1,93.33%,1,1,361-test@example.org,z_assessor_3325
z_assessor_3353,2,12,2,16,87.50%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,2,12,2,87.50%,1,1,362-test@example.org,z_assessor_3353
z_assessor_3367,1,23,5,29,82.76%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,1,23,5,82.76%,1,1,363-test@example.org,z_assessor_3367
